ccp,HS_GPA,medianIncome,TERM_GPA,Early_alert,Persist,Retained,Scholarship Level_1.0,Scholarship Level_2.0,Scholarship Level_3.0,Scholarship Level_4.0,Scholarship Level_5.0,SEX_M,OBOR_RANK_JR,OBOR_RANK_NU,OBOR_RANK_SO,OBOR_RANK_SR,LIVING_CODE_OTHER
42.0,4.142,101729.0,3.63,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0.0,4.119,44118.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
35.0,3.976,58333.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
8.0,4.37,92349.0,3.93,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29.0,4.421,63213.0,3.76,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15.0,4.0,68922.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,4.3,98884.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
13.0,4.22,101430.0,3.8,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13.0,4.036,102774.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20.0,4.047,171790.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
18.0,4.423,25060.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,3.4719294297574828,49434.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21.0,4.862,97483.0,3.79,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,4.314,130851.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
27.0,4.239,103589.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5.0,4.2,52544.0,3.75,0,1,1,1,0,0,0,0,0,0,0,0,0,0
45.0,4.534,98669.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
32.0,4.0,75450.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
25.0,4.092,123107.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
18.0,3.92,86221.0,2.67,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15.0,4.396,71616.0,3.38,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,4.0,75136.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
19.0,4.266,127477.0,3.8,0,1,1,1,0,0,0,0,0,0,0,0,0,0
32.0,4.144,114657.0,3.87,0,1,1,1,0,0,0,0,0,0,0,1,0,0
20.0,3.885,103523.0,3.81,0,1,0,1,0,0,0,0,1,0,0,0,0,0
11.0,4.0,51364.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
45.0,4.41,129557.0,3.67,0,1,1,1,0,0,0,0,0,0,0,1,0,0
41.0,3.74,96401.0,3.8,0,1,1,1,0,0,0,0,1,0,0,1,0,0
21.0,4.07,61570.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14.0,4.09,101622.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
28.0,4.451,56028.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
16.0,4.582,83094.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
6.0,4.263,31126.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
23.0,4.481,76754.0,3.44,0,1,1,1,0,0,0,0,0,0,0,0,0,0
